,user_score,meta_score,title,console,release_date
283,8.9,70,Ty the Tasmanian Tiger,PS2,2002
284,8.9,77,Shining Force: Resurrection of the Dark Dragon,GBA,2004
285,8.9,80,Donkey Kong Country 2,GBA,2004
286,8.9,80,RollerCoaster Tycoon: Loopy Landscapes,PC,2000
287,8.9,85,Metal Gear Solid: The Twin Snakes,GC,2004
288,8.9,84,Mercenaries,PS2,2005
289,8.8,83,Crisis Core: Final Fantasy VII,PSP,2008
290,8.8,80,Lazy Raiders,X360,2010
291,8.8,87,Steins Gate,PC,2014
292,8.8,92,Journey,PS3,2012
293,8.8,76,Rayman 3: Hoodlum Havoc,PS2,2003
294,8.8,89,The Walking Dead: Episode 5 - No Time Left,PC,2012
295,8.8,87,Hollow Knight,PC,2017
296,8.8,65,NHL Rivals 2004,XBOX,2003
297,8.8,73,Samurai Warriors,PS2,2004
298,8.8,74,GT Advance 3: Pro Concept Racing,GBA,2003
299,8.8,65,Digimon Rumble Arena 2,XBOX,2004
300,8.8,82,"Nine Hours, Nine Persons, Nine Doors",DS,2010
301,8.8,62,NFL GameDay 2002,PS,2001
302,8.8,81,Defense Grid: The Awakening,PC,2008
303,8.8,88,Crimson Skies: High Road to Revenge,XBOX,2003
304,8.8,81,Railroad Tycoon II: Gold Edition,DC,2000
305,8.8,81,Valkyrie Profile,PS,2000
306,8.8,82,Capitalism II,PC,2001
307,8.8,86,Sonic Mania,Switch,2017
308,8.8,72,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003
309,8.8,82,Dawn of Discovery,PC,2009
310,8.8,82,Castle Crashers,X360,2008
311,8.8,87,Europa Universalis IV,PC,2013
312,8.8,88,Zero Escape: Virtue's Last Reward,3DS,2012
313,8.8,89,The Walking Dead: Episode 5 - No Time Left,X360,2012
314,8.8,73,Dance Dance Revolution SuperNOVA,PS2,2006
315,8.8,71,The Haunted Mansion,XBOX,2003
316,8.8,88,Super Mario Maker,WIIU,2015
317,8.8,76,Kirby Super Star Ultra,DS,2008
318,8.8,66,NeoGeo Battle Coliseum,PS2,2007
319,8.8,74,NFL Fever 2004,XBOX,2003
320,8.8,65,Obscure,PS2,2005
321,8.8,73,Mega Man X Collection,PS2,2006
322,8.8,75,Prince of Persia: The Sands of Time,GBA,2003
323,8.8,75,Dynasty Warriors 4,XBOX,2003
324,8.8,75,Hidden & Dangerous 2,PC,2003
325,8.8,75,Jurassic Park: Operation Genesis,PS2,2003
326,8.8,75,The Lost Vikings,GBA,2003
327,8.8,75,Legacy of Kain: Defiance,PS2,2003
328,8.8,85,The Wolf Among Us: Episode 1 - Faith,PS3,2013
329,8.8,73,Test Drive: Eve of Destruction,PS2,2004
330,8.8,91,Sonic Mania Plus,Switch,2018
331,8.8,86,Bayonetta,WIIU,2014
332,8.8,68,Blinx 2: Masters of Time & Space,XBOX,2004
333,8.8,86,Dragon Quest XI: Echoes of an Elusive Age,PS4,2018
334,8.8,81,Danganronpa 2: Goodbye Despair,VITA,2014
335,8.8,81,Tom Clancy's Ghost Recon: Island Thunder,XBOX,2003
336,8.8,77,The Suffering,XBOX,2004
337,8.8,77,Project Zero 2: Wii Edition,WII,2012
338,8.8,78,Arc the Lad Collection,PS,2002
339,8.8,71,Grandia II,PS2,2002
340,8.8,77,NFL Street 2,PS2,2004
341,8.8,59,Outlive,PC,2001
342,8.8,58,Samurai Warriors 2,PS2,2006
343,8.8,86,We Love Katamari,PS2,2005
344,8.8,80,LEGO Star Wars: The Complete Saga,WII,2007
345,8.8,59,Samurai Jack: The Shadow of Aku,PS2,2004
346,8.8,83,Sly 3: Honor Among Thieves,PS2,2005
347,8.8,77,The Suffering,PS2,2004
