,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
9096,Air Conflicts: Secret Wars    ,N/A  ,01st Nov 11  ,PS3,Kalypso  ,Games Farm  ,,0.19m,0.10m,0.06m,0.19m,0.03m,,N/A  
9097,Kenka Banchou 4: Ichinen Sensou    ,N/A  ,25th Feb 10  ,PSP,Spike  ,Spike  ,,0.19m,,,0.19m,,,N/A  
9098,Transformers: Prime    ,N/A  ,30th Oct 12  ,3DS,Activision  ,Now Production  ,,0.19m,0.14m,0.03m,0.19m,0.02m,06th Jan 19,N/A  
9099,NBA 2K11    ,N/A  ,05th Oct 10  ,PC,2K Sports  ,Visual Concepts  ,,0.19m,0.18m,,0.19m,0.01m,,N/A  
9100,Dead Space 3    ,N/A  ,05th Feb 13  ,PC,Electronic Arts  ,Visceral Games  ,,0.19m,0.02m,0.16m,0.19m,0.01m,,N/A  
9101,Warhammer: Shadow of the Horned Rat    ,N/A  ,01st Nov 96  ,PS,SSI  ,Games Workshop  ,,0.19m,0.11m,0.07m,0.19m,0.01m,,N/A  
9102,50 Cent: Blood on the Sand    ,N/A  ,24th Feb 09  ,PS3,THQ  ,Swordfish Studios  ,,0.19m,0.10m,0.06m,0.19m,0.03m,,N/A  
9103,"Bye-Bye, Wacky Planet    ",N/A  ,N/A  ,PC,Unknown  ,Rasul Mono  ,0.19m,,,,0.19m,,01st Mar 19,N/A  
9104,FaceBreaker    ,N/A  ,03rd Sep 08  ,X360,EA Sports  ,EA Canada  ,,0.19m,0.15m,0.02m,0.19m,0.01m,,N/A  
9105,Pro Yakyuu Team o Tsukurou!    ,N/A  ,22nd May 08  ,DS,Sega  ,Sega  ,,0.19m,,,0.19m,,,N/A  
9106,ESPN International Track & Field    ,N/A  ,25th Oct 00  ,PS2,Konami  ,Konami  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9107,Toukiden Kiwami    ,N/A  ,28th Apr 15  ,PS4,Tecmo Koei  ,Koei Tecmo Games  ,,0.19m,0.06m,0.07m,0.19m,0.03m,31st Jul 18,N/A  
9108,Infested Planet    ,N/A  ,06th Mar 14  ,PC,Zoo Games silver  ,Unknown  ,0.19m,,,,0.19m,,,N/A  
9109,DanceDanceRevolution    ,N/A  ,16th Nov 10  ,PS3,Konami  ,Konami  ,,0.19m,0.12m,0.05m,0.19m,0.02m,,N/A  
9110,Lunar Legend    ,N/A  ,08th Dec 02  ,GBA,Ubisoft  ,Magic Rings  ,,0.19m,0.14m,0.05m,0.19m,0.00m,,N/A  
9111,Conflict: Global Terror    ,N/A  ,04th Oct 05  ,PS2,2K Games  ,Pivotal Games  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9112,Death Jr.    ,N/A  ,16th Aug 05  ,PSP,Konami  ,Backbone Entertainment  ,,0.19m,0.17m,0.00m,0.19m,0.01m,,N/A  
9113,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion    ,N/A  ,08th Jun 06  ,PS2,D3 Publisher  ,Bisty  ,,0.19m,,,0.19m,,,N/A  
9114,The Walking Dead: Season Two    ,N/A  ,14th Oct 14  ,PS3,Telltale Games  ,Unknown  ,,0.19m,0.09m,0.06m,0.19m,0.03m,,N/A  
9115,3rd Super Robot Wars Z Jigoku Hen    ,N/A  ,10th Apr 14  ,PSV,Namco Bandai Games  ,Unknown  ,,0.19m,,,0.19m,,,N/A  
9116,Cabela's Survival: Shadows of Katmai    ,N/A  ,01st Nov 11  ,PS3,Activision  ,Activision  ,,0.19m,0.11m,0.05m,0.19m,0.03m,,N/A  
