,metascore,title,console,date,Global_Sales,User_Score
1565,70,Tomb Raider: Underworld,DS, 2008,0.08,77.0
1566,80,Tomb Raider: Underworld,PC, 2008,0.08,77.0
1567,70,Tomb Raider: Underworld,WII, 2008,0.08,77.0
1568,75,Tomb Raider: Underworld,PS3, 2008,0.08,77.0
1569,76,Tomb Raider: Underworld,X360, 2008,0.08,77.0
1570,77,Dragon's Crown,VITA, 2013,0.35,84.0
1571,82,Dragon's Crown,PS3, 2013,0.35,84.0
1572,82,The Lord of the Rings: The Two Towers,GC, 2002,0.53,87.0
1573,79,The Lord of the Rings: The Two Towers,XBOX, 2002,0.53,87.0
1574,82,The Lord of the Rings: The Two Towers,PS2, 2002,0.53,87.0
1575,75,Stella Deus: The Gate of Eternity,PS2, 2005,0.08,80.0
1576,71,Disney's Donald Duck: Goin' Quackers,DC, 2000,0.04,30.0
1577,73,Disney's Donald Duck: Goin' Quackers,PS2, 2000,0.04,30.0
1578,61,Disney's Donald Duck: Goin' Quackers,GC, 2002,0.04,30.0
1579,78,Shadow of Destiny,PS2, 2001,0.09,82.0
1580,71,Shadow of Destiny,PC, 2002,0.09,82.0
1581,78,Tales of Destiny II,PS, 2001,0.81,87.0
1582,74,Spider-Man 2: Enter: Electro,PS, 2001,1.55,87.0
1583,70,The Kore Gang,WII, 2011,0.04,86.0
1584,79,SoulCalibur,X360, 2008,0.34,88.0
1585,75,Ace Combat Zero: The Belkan War,PS2, 2006,0.51,84.0
1586,77,MTV Music Generator 2,PS2, 2001,0.15,85.0
1587,81,All-Star Baseball 2003,PS2, 2002,0.15,80.0
1588,79,All-Star Baseball 2003,XBOX, 2002,0.15,80.0
1589,83,All-Star Baseball 2003,GC, 2002,0.15,80.0
1590,81,Bomberman Generation,GC, 2002,0.25,85.0
1591,74,Need for Speed Underground Rivals,PSP, 2005,1.32,85.0
1592,73,Sonic Adventure 2 Battle,GC, 2002,2.56,83.0
1593,69,Romance of the Three Kingdoms XI,PS2, 2007,0.07,84.0
1594,70,Romance of the Three Kingdoms XI,PC, 2008,0.07,84.0
1595,78,Dragon Quest VI: Realms of Revelation,DS, 2011,1.73,81.0
1596,79,Castlevania: Lament of Innocence,PS2, 2003,0.94,84.0
1597,80,Rock 'N Roll Racing,GBA, 2003,0.05,94.0
1598,74,Phantom Crash,XBOX, 2002,0.05,83.0
1599,66,RPG Maker,PS, 2000,0.5,82.0
1600,66,Kingdom Hearts Re:coded,DS, 2011,0.93,70.0
1601,78,MySims Agents,WII, 2009,1.03,86.0
1602,77,DoDonPachi Resurrection,X360, 2011,0.05,86.0
1603,77,Sonic Generations,X360, 2011,0.11,83.0
1604,77,Sonic Generations,PC, 2011,0.11,83.0
1605,76,Sonic Generations,PS3, 2011,0.11,83.0
1606,66,Sonic Generations,3DS, 2011,0.11,83.0
1607,77,Outlaw Volleyball,XBOX, 2003,0.26,84.0
1608,76,Grand Kingdom,VITA, 2016,0.06,88.0
1609,78,Grand Kingdom,PS4, 2016,0.06,88.0
1610,68,Pokemon Ranger: Guardian Signs,DS, 2010,1.29,82.0
