,console,date,metascore,name,tot_sale,userscore
228,DS,2008,58.0,WWE SmackDown vs. Raw 2009,0.18,78.0
229,DS,2005,62.0,Pokémon Mystery Dungeon: Blue Rescue Team,2.02,81.0
230,DS,2009,70.0,Guitar Hero On Tour: Modern Hits,0.37,63.0
231,DS,2008,68.0,Pokemon Ranger: Shadows of Almia,2.28,82.0
232,DS,2009,71.0,Final Fantasy: The 4 Heroes of Light,0.58,71.0
233,DS,2007,67.0,Pony Friends,0.04,66.0
234,DS,2009,61.0,The Lord of the Rings: Conquest,0.1,78.0
235,DS,2007,61.0,Impossible Mission,0.12,48.0
236,DS,2008,48.0,Carnival Games,2.03,33.0
237,DS,2011,64.0,Thor: God of Thunder,0.12,72.0
238,DS,2008,69.0,Glory of Heracles,0.29,73.0
239,DS,2008,75.0,TrackMania DS,0.08,69.0
240,DS,2006,62.0,Naruto: Path of the Ninja 2,0.23,75.0
241,DS,2008,80.0,Lock's Quest,0.09,87.0
242,DS,2005,38.0,Burnout Legends,0.18,60.0
243,DS,2006,49.0,The Sims 2: Pets,2.07,52.0
244,DS,2008,48.0,Lux-Pain,0.04,62.0
245,DS,2007,73.0,Drawn to Life,0.78,82.0
246,DS,2009,56.0,Miami Law,0.1,88.0
247,DS,2005,66.0,Madden NFL 06,0.12,63.0
248,DS,2007,70.0,Nervous Brickdown,0.02,75.0
249,DS,2011,81.0,Plants vs. Zombies,1.1,74.0
250,DS,2010,74.0,Batman: The Brave and the Bold the Videogame,0.29,80.0
251,DS,2005,90.0,Advance Wars: Dual Strike,0.39,90.0
252,DS,2008,65.0,Spore Creatures,1.06,65.0
253,DS,2007,81.0,Tiger Woods PGA Tour 08,0.06,76.0
254,DS,2008,60.0,Zoo Tycoon 2 DS,0.29,54.0
255,DS,2008,55.0,Naruto Shippuden: Ninja Destiny 2,0.37,57.0
256,DS,2008,51.0,Code Lyoko: Fall of X.A.N.A.,0.08,63.0
257,DS,2007,88.0,The World Ends With You,0.78,89.0
258,DS,2009,75.0,Kingdom Hearts 358/2 Days,1.98,78.0
259,DS,2006,75.0,Final Fantasy Fables: Chocobo Tales,0.24,74.0
260,DS,2007,71.0,TouchMaster,2.0,57.0
261,DS,2011,33.0,X-Men: Destiny,0.06,56.0
262,DS,2009,66.0,Disney's A Christmas Carol,0.23,65.0
263,DS,2010,68.0,Harvest Moon: The Tale of Two Towns,0.55,75.0
264,DS,2006,84.0,Tetris DS,2.1,87.0
265,DS,2008,68.0,Star Wars The Clone Wars: Jedi Alliance,0.78,78.0
266,DS,2006,63.0,Winning Eleven: Pro Evolution Soccer 2007,0.17,79.0
267,DS,2008,71.0,Princess Debut,0.1,74.0
268,DS,2005,58.0,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.06,70.0
269,DS,2006,63.0,Star Trek: Tactical Assault,0.06,70.0
270,DS,2006,64.0,Worms: Open Warfare,0.08,70.0
271,DS,2006,48.0,SNK vs. Capcom Card Fighters DS,0.1,48.0
272,DS,2008,82.0,Disgaea DS,0.18,75.0
273,DS,2011,59.0,LEGO Battles: Ninjago,1.45,69.0
274,DS,2006,37.0,Tenchu: Dark Secret,0.05,51.0
275,DS,2007,86.0,Planet Puzzle League,0.33,82.0
276,DS,2007,71.0,My Word Coach,1.44,68.0
277,DS,2007,75.0,Etrian Odyssey,0.33,85.0
278,DS,2005,75.0,Bust-A-Move DS,0.11,70.0
279,DS,2010,75.0,Dementium II,0.11,83.0
280,DS,2008,70.0,100 Classic Books,0.66,60.0
281,DS,2007,57.0,Dragon Ball Z: Harukanaru Densetsu,0.2,62.0
282,DS,2005,86.0,Kirby: Canvas Curse,0.72,82.0
283,DS,2009,82.0,Henry Hatsworth in the Puzzling Adventure,0.09,80.0
284,DS,2010,77.0,Dragon Quest Monsters: Joker 2,1.41,73.0
285,DS,2006,70.0,Need for Speed Carbon: Own the City,0.2,75.0
